text,ats_score,grammar_score,readability_score,overall_score
This is dummy resume feedback #1,10.62,7.78,8.93,9.11
This is dummy resume feedback #2,19.26,13.13,8.7,13.7
This is dummy resume feedback #3,15.98,18.09,18.59,17.55
This is dummy resume feedback #4,13.98,15.98,8.74,12.9
This is dummy resume feedback #5,7.34,17.1,9.08,11.17
This is dummy resume feedback #6,7.34,14.88,16.39,12.87
This is dummy resume feedback #7,5.87,15.38,11.75,11.0
This is dummy resume feedback #8,17.99,17.74,16.65,17.46
This is dummy resume feedback #9,14.02,8.75,5.98,9.58
This is dummy resume feedback #10,15.62,12.34,12.31,13.42
This is dummy resume feedback #11,5.31,8.32,5.5,6.38
This is dummy resume feedback #12,19.55,19.82,5.94,15.1
This is dummy resume feedback #13,17.49,19.16,18.6,18.42
This is dummy resume feedback #14,8.19,5.59,7.09,6.96
This is dummy resume feedback #15,7.73,15.58,12.99,12.1
This is dummy resume feedback #16,7.75,18.88,11.17,12.6
This is dummy resume feedback #17,9.56,7.71,10.21,9.16
This is dummy resume feedback #18,12.87,13.52,18.5,14.96
This is dummy resume feedback #19,11.48,18.73,5.33,11.85
This is dummy resume feedback #20,9.37,5.51,14.96,9.95
This is dummy resume feedback #21,14.18,15.46,19.45,16.36
This is dummy resume feedback #22,7.09,9.46,13.4,9.98
This is dummy resume feedback #23,9.38,18.87,19.05,15.77
This is dummy resume feedback #24,10.5,19.57,5.78,11.95
This is dummy resume feedback #25,11.84,19.16,11.28,14.09
This is dummy resume feedback #26,16.78,12.11,8.9,12.6
This is dummy resume feedback #27,8.0,17.93,15.96,13.96
This is dummy resume feedback #28,12.71,17.67,19.72,16.7
This is dummy resume feedback #29,13.89,9.79,8.85,10.84
This is dummy resume feedback #30,5.7,17.43,14.81,12.65
This is dummy resume feedback #31,14.11,5.56,7.97,9.21
This is dummy resume feedback #32,7.56,13.94,13.48,11.66
This is dummy resume feedback #33,5.98,8.45,11.96,8.8
This is dummy resume feedback #34,19.23,6.81,19.58,15.21
This is dummy resume feedback #35,19.48,6.15,14.13,13.25
This is dummy resume feedback #36,17.13,15.44,10.24,14.27
This is dummy resume feedback #37,9.57,10.1,6.71,8.79
This is dummy resume feedback #38,6.47,15.87,7.27,9.87
This is dummy resume feedback #39,15.26,5.98,8.38,9.87
This is dummy resume feedback #40,11.6,9.73,8.76,10.03
This is dummy resume feedback #41,6.83,13.09,17.76,12.56
This is dummy resume feedback #42,12.43,16.86,13.42,14.24
This is dummy resume feedback #43,5.52,9.78,12.85,9.38
This is dummy resume feedback #44,18.64,14.39,6.72,13.25
This is dummy resume feedback #45,8.88,18.29,17.9,15.02
This is dummy resume feedback #46,14.94,14.24,15.84,15.01
This is dummy resume feedback #47,9.68,8.49,6.02,8.06
This is dummy resume feedback #48,12.8,5.37,15.62,11.26
This is dummy resume feedback #49,13.2,18.05,13.15,14.8
This is dummy resume feedback #50,7.77,5.32,6.23,6.44
This is dummy resume feedback #51,19.54,18.12,11.87,16.51
This is dummy resume feedback #52,16.63,12.93,12.27,13.94
This is dummy resume feedback #53,19.09,19.09,7.49,15.22
This is dummy resume feedback #54,18.42,16.98,19.19,18.2
This is dummy resume feedback #55,13.97,19.97,17.75,17.23
This is dummy resume feedback #56,18.83,10.26,15.04,14.71
This is dummy resume feedback #57,6.33,16.51,11.93,11.59
This is dummy resume feedback #58,7.94,11.03,11.18,10.05
This is dummy resume feedback #59,5.68,12.2,14.76,10.88
This is dummy resume feedback #60,9.88,14.41,13.18,12.49
This is dummy resume feedback #61,10.83,18.11,5.93,11.62
This is dummy resume feedback #62,9.07,19.76,12.69,13.84
This is dummy resume feedback #63,17.43,16.52,17.1,17.02
This is dummy resume feedback #64,10.35,11.27,11.89,11.17
This is dummy resume feedback #65,9.21,11.32,5.78,8.77
This is dummy resume feedback #66,13.14,16.06,16.79,15.33
This is dummy resume feedback #67,7.11,8.58,8.02,7.9
This is dummy resume feedback #68,17.03,6.66,8.88,10.86
This is dummy resume feedback #69,6.12,10.32,7.47,7.97
This is dummy resume feedback #70,19.8,9.31,9.95,13.02
This is dummy resume feedback #71,16.58,9.44,16.35,14.12
This is dummy resume feedback #72,7.98,8.5,12.79,9.76
This is dummy resume feedback #73,5.08,5.63,8.07,6.26
This is dummy resume feedback #74,17.23,5.27,18.17,13.56
This is dummy resume feedback #75,15.6,19.82,18.19,17.87
This is dummy resume feedback #76,15.94,11.42,18.06,15.14
This is dummy resume feedback #77,16.57,10.76,8.58,11.97
This is dummy resume feedback #78,6.11,15.19,11.77,11.02
This is dummy resume feedback #79,10.38,8.27,19.77,12.81
This is dummy resume feedback #80,6.74,19.25,16.58,14.19
This is dummy resume feedback #81,17.95,16.8,5.41,13.39
This is dummy resume feedback #82,14.35,6.34,5.98,8.89
This is dummy resume feedback #83,9.96,11.26,11.96,11.06
This is dummy resume feedback #84,5.95,18.19,18.64,14.26
This is dummy resume feedback #85,9.66,19.17,13.08,13.97
This is dummy resume feedback #86,9.88,12.01,12.47,11.45
This is dummy resume feedback #87,15.94,14.2,6.58,12.24
This is dummy resume feedback #88,14.56,7.51,14.85,12.31
This is dummy resume feedback #89,18.31,19.87,17.33,18.5
This is dummy resume feedback #90,12.08,8.48,10.71,10.42
This is dummy resume feedback #91,6.79,19.14,16.63,14.19
This is dummy resume feedback #92,15.7,14.74,19.47,16.64
This is dummy resume feedback #93,16.41,14.12,8.06,12.86
This is dummy resume feedback #94,13.42,12.69,12.85,12.99
This is dummy resume feedback #95,16.56,8.46,9.31,11.44
This is dummy resume feedback #96,12.41,7.65,16.89,12.32
This is dummy resume feedback #97,12.84,8.31,13.66,11.6
This is dummy resume feedback #98,11.41,7.8,14.52,11.24
This is dummy resume feedback #99,5.38,16.69,16.97,13.01
This is dummy resume feedback #100,6.62,10.25,10.94,9.27
This is dummy resume feedback #101,5.47,5.87,18.73,10.02
This is dummy resume feedback #102,14.55,19.54,13.0,15.7
This is dummy resume feedback #103,9.72,18.26,7.37,11.78
This is dummy resume feedback #104,12.63,18.92,15.44,15.66
This is dummy resume feedback #105,18.61,19.92,16.9,18.48
This is dummy resume feedback #106,8.74,7.61,9.75,8.7
This is dummy resume feedback #107,11.16,10.94,17.86,13.32
This is dummy resume feedback #108,16.33,16.37,18.59,17.1
This is dummy resume feedback #109,8.43,15.44,9.15,11.01
This is dummy resume feedback #110,6.15,7.31,19.75,11.07
This is dummy resume feedback #111,9.35,17.24,7.11,11.23
This is dummy resume feedback #112,7.42,8.37,8.03,7.94
This is dummy resume feedback #113,18.95,8.36,7.76,11.69
This is dummy resume feedback #114,17.12,13.05,18.41,16.19
This is dummy resume feedback #115,14.5,13.89,14.81,14.4
This is dummy resume feedback #116,18.07,13.7,7.28,13.02
This is dummy resume feedback #117,17.06,6.37,11.6,11.68
This is dummy resume feedback #118,7.8,18.16,14.23,13.4
This is dummy resume feedback #119,18.39,8.98,6.25,11.21
This is dummy resume feedback #120,13.09,6.94,18.24,12.76
This is dummy resume feedback #121,17.11,18.33,17.05,17.5
This is dummy resume feedback #122,18.44,19.33,12.58,16.78
This is dummy resume feedback #123,9.77,17.93,19.51,15.74
This is dummy resume feedback #124,6.65,17.14,11.27,11.69
This is dummy resume feedback #125,8.42,14.83,19.76,14.34
This is dummy resume feedback #126,11.41,13.26,15.02,13.23
This is dummy resume feedback #127,17.27,6.3,14.52,12.7
This is dummy resume feedback #128,17.91,11.13,7.49,12.18
This is dummy resume feedback #129,5.1,10.59,18.23,11.31
This is dummy resume feedback #130,12.66,8.9,11.41,10.99
This is dummy resume feedback #131,11.26,15.85,7.43,11.51
This is dummy resume feedback #132,8.33,12.44,5.19,8.65
This is dummy resume feedback #133,6.8,6.22,13.4,8.81
This is dummy resume feedback #134,10.06,8.3,12.91,10.42
This is dummy resume feedback #135,19.14,15.25,15.79,16.73
This is dummy resume feedback #136,9.85,6.14,18.35,11.45
This is dummy resume feedback #137,12.78,17.77,6.19,12.25
This is dummy resume feedback #138,15.55,12.43,15.97,14.65
This is dummy resume feedback #139,10.45,12.21,7.81,10.16
This is dummy resume feedback #140,19.58,13.89,17.87,17.11
This is dummy resume feedback #141,19.44,17.37,17.29,18.03
This is dummy resume feedback #142,8.78,10.22,13.11,10.7
This is dummy resume feedback #143,12.46,15.17,15.65,14.43
This is dummy resume feedback #144,9.51,13.49,9.72,10.91
This is dummy resume feedback #145,9.27,9.01,12.07,10.12
This is dummy resume feedback #146,5.55,18.18,17.32,13.68
This is dummy resume feedback #147,14.14,16.96,11.89,14.33
This is dummy resume feedback #148,12.54,14.88,10.37,12.6
This is dummy resume feedback #149,5.77,17.76,12.41,11.98
This is dummy resume feedback #150,9.18,18.01,17.42,14.87
This is dummy resume feedback #151,18.62,15.63,10.03,14.76
This is dummy resume feedback #152,8.59,17.56,7.61,11.25
This is dummy resume feedback #153,7.17,15.46,15.68,12.77
This is dummy resume feedback #154,12.34,15.2,17.39,14.98
This is dummy resume feedback #155,19.78,14.28,6.51,13.52
This is dummy resume feedback #156,8.63,16.29,8.6,11.17
This is dummy resume feedback #157,15.08,7.38,7.13,9.86
This is dummy resume feedback #158,16.42,18.21,10.22,14.95
This is dummy resume feedback #159,8.56,18.08,11.76,12.8
This is dummy resume feedback #160,15.92,5.44,16.23,12.53
This is dummy resume feedback #161,10.52,17.39,14.77,14.23
This is dummy resume feedback #162,14.48,6.93,14.31,11.91
This is dummy resume feedback #163,14.5,10.03,10.29,11.61
This is dummy resume feedback #164,13.04,16.15,17.62,15.6
This is dummy resume feedback #165,6.35,7.41,12.07,8.61
This is dummy resume feedback #166,17.53,17.27,19.69,18.16
This is dummy resume feedback #167,9.81,17.48,14.51,13.93
This is dummy resume feedback #168,7.8,12.61,6.89,9.1
This is dummy resume feedback #169,5.61,5.1,15.14,8.62
This is dummy resume feedback #170,13.86,9.31,9.88,11.02
This is dummy resume feedback #171,15.16,14.25,15.29,14.9
This is dummy resume feedback #172,5.25,19.72,6.04,10.34
This is dummy resume feedback #173,12.68,14.48,7.62,11.59
This is dummy resume feedback #174,8.4,8.9,17.84,11.71
This is dummy resume feedback #175,14.68,14.51,8.41,12.53
This is dummy resume feedback #176,7.62,13.1,17.56,12.76
This is dummy resume feedback #177,15.36,16.7,9.19,13.75
This is dummy resume feedback #178,10.8,6.6,14.64,10.68
This is dummy resume feedback #179,19.05,16.42,15.41,16.96
This is dummy resume feedback #180,7.06,13.12,12.69,10.96
This is dummy resume feedback #181,10.12,19.44,9.58,13.05
This is dummy resume feedback #182,6.7,10.13,8.19,8.34
This is dummy resume feedback #183,18.87,14.49,5.5,12.95
This is dummy resume feedback #184,18.16,18.98,9.56,15.57
This is dummy resume feedback #185,8.87,6.54,14.8,10.07
This is dummy resume feedback #186,14.9,19.06,19.07,17.68
This is dummy resume feedback #187,17.26,15.32,18.07,16.88
This is dummy resume feedback #188,13.33,6.02,16.49,11.95
This is dummy resume feedback #189,12.94,9.51,16.83,13.09
This is dummy resume feedback #190,8.63,15.62,14.97,13.07
This is dummy resume feedback #191,6.4,6.01,8.9,7.1
This is dummy resume feedback #192,18.46,13.73,18.61,16.93
This is dummy resume feedback #193,18.51,10.19,15.06,14.59
This is dummy resume feedback #194,14.5,14.31,13.41,14.07
This is dummy resume feedback #195,10.09,5.69,6.66,7.48
This is dummy resume feedback #196,10.24,18.07,11.71,13.34
This is dummy resume feedback #197,15.89,19.6,11.91,15.8
This is dummy resume feedback #198,18.46,19.53,17.97,18.65
This is dummy resume feedback #199,18.31,16.24,13.2,15.92
This is dummy resume feedback #200,16.7,6.95,10.71,11.45
This is dummy resume feedback #201,14.63,16.37,19.65,16.88
This is dummy resume feedback #202,6.26,5.37,6.66,6.1
This is dummy resume feedback #203,7.42,5.33,11.34,8.03
This is dummy resume feedback #204,18.48,9.85,5.63,11.32
This is dummy resume feedback #205,14.1,12.33,16.1,14.18
This is dummy resume feedback #206,5.14,16.56,18.77,13.49
This is dummy resume feedback #207,6.52,15.25,9.2,10.32
This is dummy resume feedback #208,14.95,11.69,17.88,14.84
This is dummy resume feedback #209,5.08,9.1,9.38,7.85
This is dummy resume feedback #210,7.41,19.96,18.66,15.34
This is dummy resume feedback #211,13.23,11.39,16.31,13.64
This is dummy resume feedback #212,15.38,11.77,17.07,14.74
This is dummy resume feedback #213,14.78,7.45,5.27,9.17
This is dummy resume feedback #214,8.36,16.92,19.44,14.91
This is dummy resume feedback #215,15.68,15.41,15.9,15.66
This is dummy resume feedback #216,8.56,8.31,9.57,8.81
This is dummy resume feedback #217,9.88,6.24,17.44,11.19
This is dummy resume feedback #218,16.2,15.21,9.22,13.54
This is dummy resume feedback #219,14.74,14.82,18.09,15.88
This is dummy resume feedback #220,17.74,9.1,6.69,11.18
This is dummy resume feedback #221,14.86,19.26,15.56,16.56
This is dummy resume feedback #222,13.52,7.27,13.11,11.3
This is dummy resume feedback #223,6.41,11.49,6.45,8.12
This is dummy resume feedback #224,10.52,19.15,8.63,12.77
This is dummy resume feedback #225,8.98,11.3,5.19,8.49
This is dummy resume feedback #226,8.66,14.58,12.03,11.76
This is dummy resume feedback #227,19.6,10.96,9.52,13.36
This is dummy resume feedback #228,10.9,9.11,13.98,11.33
This is dummy resume feedback #229,18.38,19.76,9.46,15.87
This is dummy resume feedback #230,14.47,11.14,9.5,11.7
This is dummy resume feedback #231,16.92,18.41,16.15,17.16
This is dummy resume feedback #232,12.54,8.45,5.72,8.9
This is dummy resume feedback #233,13.65,8.2,18.54,13.46
This is dummy resume feedback #234,12.39,5.47,17.78,11.88
This is dummy resume feedback #235,7.93,14.78,15.02,12.58
This is dummy resume feedback #236,15.84,10.53,13.9,13.42
This is dummy resume feedback #237,9.21,17.97,18.38,15.19
This is dummy resume feedback #238,5.36,12.1,7.78,8.41
This is dummy resume feedback #239,14.68,19.52,6.18,13.46
This is dummy resume feedback #240,7.66,7.78,8.59,8.01
This is dummy resume feedback #241,19.11,18.03,16.92,18.02
This is dummy resume feedback #242,19.31,16.65,5.52,13.83
This is dummy resume feedback #243,18.72,16.56,13.74,16.34
This is dummy resume feedback #244,10.55,17.67,19.93,16.05
This is dummy resume feedback #245,5.23,16.42,17.84,13.16
This is dummy resume feedback #246,18.92,14.39,12.82,15.38
This is dummy resume feedback #247,11.42,6.97,5.95,8.11
This is dummy resume feedback #248,19.5,5.49,17.47,14.15
This is dummy resume feedback #249,19.45,18.81,13.98,17.41
This is dummy resume feedback #250,17.8,14.25,6.72,12.92
This is dummy resume feedback #251,9.42,16.95,6.41,10.93
This is dummy resume feedback #252,10.78,12.22,18.64,13.88
This is dummy resume feedback #253,17.77,6.76,15.04,13.19
This is dummy resume feedback #254,9.75,6.88,17.44,11.36
This is dummy resume feedback #255,7.54,15.28,18.18,13.67
This is dummy resume feedback #256,13.35,11.45,13.58,12.79
This is dummy resume feedback #257,19.04,8.01,12.76,13.27
This is dummy resume feedback #258,15.44,12.37,11.46,13.09
This is dummy resume feedback #259,13.55,5.96,9.75,9.75
This is dummy resume feedback #260,6.46,13.73,11.52,10.57
This is dummy resume feedback #261,14.23,9.03,16.61,13.29
This is dummy resume feedback #262,19.85,16.96,14.03,16.95
This is dummy resume feedback #263,7.1,9.66,18.39,11.72
This is dummy resume feedback #264,12.77,11.83,11.65,12.08
This is dummy resume feedback #265,18.16,5.17,14.11,12.48
This is dummy resume feedback #266,16.11,6.09,14.47,12.22
This is dummy resume feedback #267,15.46,10.89,13.88,13.41
This is dummy resume feedback #268,15.54,12.2,15.54,14.43
This is dummy resume feedback #269,10.39,14.0,8.56,10.98
This is dummy resume feedback #270,9.4,9.37,12.69,10.49
This is dummy resume feedback #271,17.14,15.42,6.56,13.04
This is dummy resume feedback #272,17.15,17.9,10.77,15.27
This is dummy resume feedback #273,18.01,16.7,12.32,15.68
This is dummy resume feedback #274,18.7,5.59,14.78,13.02
This is dummy resume feedback #275,12.67,12.21,19.26,14.71
This is dummy resume feedback #276,12.52,6.57,14.01,11.03
This is dummy resume feedback #277,16.97,8.63,16.15,13.92
This is dummy resume feedback #278,14.75,19.8,12.59,15.71
This is dummy resume feedback #279,15.53,7.14,14.51,12.39
This is dummy resume feedback #280,16.94,12.48,6.06,11.83
This is dummy resume feedback #281,18.35,14.27,8.82,13.81
This is dummy resume feedback #282,10.07,15.54,10.43,12.01
This is dummy resume feedback #283,10.63,13.39,12.09,12.04
This is dummy resume feedback #284,6.41,5.15,5.68,5.75
This is dummy resume feedback #285,13.67,9.9,7.1,10.22
This is dummy resume feedback #286,5.54,12.77,9.15,9.15
This is dummy resume feedback #287,11.98,6.32,19.57,12.62
This is dummy resume feedback #288,13.14,10.26,9.97,11.12
This is dummy resume feedback #289,9.3,5.5,12.23,9.01
This is dummy resume feedback #290,13.86,6.18,7.94,9.33
This is dummy resume feedback #291,5.46,10.95,14.16,10.19
This is dummy resume feedback #292,5.56,6.99,9.21,7.25
This is dummy resume feedback #293,17.34,13.51,8.1,12.98
This is dummy resume feedback #294,10.4,15.34,12.75,12.83
This is dummy resume feedback #295,6.91,17.01,5.08,9.67
This is dummy resume feedback #296,12.83,8.0,5.11,8.65
This is dummy resume feedback #297,16.55,7.51,8.29,10.78
This is dummy resume feedback #298,8.24,6.57,5.55,6.79
This is dummy resume feedback #299,14.34,14.55,6.62,11.84
This is dummy resume feedback #300,6.28,15.6,10.08,10.65
This is dummy resume feedback #301,5.78,5.47,17.04,9.43
This is dummy resume feedback #302,12.97,19.04,13.58,15.2
This is dummy resume feedback #303,13.11,5.78,12.69,10.53
This is dummy resume feedback #304,14.56,13.12,9.4,12.36
This is dummy resume feedback #305,15.89,15.64,18.98,16.84
This is dummy resume feedback #306,19.64,18.06,10.96,16.22
This is dummy resume feedback #307,12.74,15.71,6.31,11.59
This is dummy resume feedback #308,9.84,17.03,14.26,13.71
This is dummy resume feedback #309,16.93,10.09,6.71,11.24
This is dummy resume feedback #310,9.06,17.22,10.18,12.15
This is dummy resume feedback #311,11.58,6.2,12.61,10.13
This is dummy resume feedback #312,6.18,18.42,18.11,14.24
This is dummy resume feedback #313,5.38,13.21,12.4,10.33
This is dummy resume feedback #314,19.44,17.26,15.53,17.41
This is dummy resume feedback #315,17.54,11.78,19.89,16.4
This is dummy resume feedback #316,15.44,14.65,6.97,12.35
This is dummy resume feedback #317,11.13,12.9,9.12,11.05
This is dummy resume feedback #318,7.6,15.97,10.92,11.5
This is dummy resume feedback #319,7.35,6.22,11.33,8.3
This is dummy resume feedback #320,8.75,5.91,11.17,8.61
This is dummy resume feedback #321,13.24,8.71,18.61,13.52
This is dummy resume feedback #322,15.72,7.39,15.71,12.94
This is dummy resume feedback #323,14.9,18.08,14.12,15.7
This is dummy resume feedback #324,9.2,8.29,9.64,9.04
This is dummy resume feedback #325,19.32,19.64,17.36,18.77
This is dummy resume feedback #326,16.07,10.05,19.33,15.15
This is dummy resume feedback #327,13.32,7.73,17.32,12.79
This is dummy resume feedback #328,14.18,16.85,5.02,12.02
This is dummy resume feedback #329,11.29,14.88,14.55,13.57
This is dummy resume feedback #330,8.72,12.47,5.77,8.99
This is dummy resume feedback #331,10.34,13.33,8.86,10.84
This is dummy resume feedback #332,16.37,15.79,5.89,12.68
This is dummy resume feedback #333,5.22,8.43,14.06,9.24
This is dummy resume feedback #334,6.74,19.95,15.3,14.0
