text,ats_score,grammar_score,readability_score,overall_score
This is dummy resume feedback #668,7.41,18.96,14.77,13.71
This is dummy resume feedback #669,7.8,6.75,16.08,10.21
This is dummy resume feedback #670,9.28,17.26,9.73,12.09
This is dummy resume feedback #671,7.6,10.71,14.67,10.99
This is dummy resume feedback #672,18.45,18.17,10.93,15.85
This is dummy resume feedback #673,6.2,18.02,15.7,13.31
This is dummy resume feedback #674,12.87,17.09,7.99,12.65
This is dummy resume feedback #675,11.16,16.85,18.35,15.45
This is dummy resume feedback #676,19.74,9.57,9.31,12.87
This is dummy resume feedback #677,6.68,6.21,10.52,7.8
This is dummy resume feedback #678,10.97,11.04,5.87,9.29
This is dummy resume feedback #679,19.54,7.6,6.67,11.27
This is dummy resume feedback #680,17.98,15.42,12.74,15.38
This is dummy resume feedback #681,17.26,10.19,9.01,12.15
This is dummy resume feedback #682,8.87,19.63,17.53,15.34
This is dummy resume feedback #683,7.56,14.61,5.22,9.13
This is dummy resume feedback #684,15.03,17.34,10.69,14.35
This is dummy resume feedback #685,18.94,6.99,10.06,12.0
This is dummy resume feedback #686,13.35,17.93,5.29,12.19
This is dummy resume feedback #687,13.57,18.84,6.87,13.09
This is dummy resume feedback #688,9.2,12.31,11.2,10.9
This is dummy resume feedback #689,16.54,14.09,12.39,14.34
This is dummy resume feedback #690,7.81,16.47,11.06,11.78
This is dummy resume feedback #691,9.86,7.62,12.96,10.15
This is dummy resume feedback #692,11.38,12.54,13.93,12.62
This is dummy resume feedback #693,12.61,10.98,5.15,9.58
This is dummy resume feedback #694,8.64,7.2,11.96,9.27
This is dummy resume feedback #695,6.72,10.51,19.45,12.23
This is dummy resume feedback #696,14.16,6.02,12.79,10.99
This is dummy resume feedback #697,9.33,5.39,15.16,9.96
This is dummy resume feedback #698,13.72,7.03,9.68,10.14
This is dummy resume feedback #699,7.32,19.45,16.61,14.46
This is dummy resume feedback #700,12.22,13.24,16.59,14.02
This is dummy resume feedback #701,12.99,19.49,12.82,15.1
This is dummy resume feedback #702,5.78,11.49,19.64,12.3
This is dummy resume feedback #703,10.05,9.68,6.88,8.87
This is dummy resume feedback #704,7.02,12.59,5.25,8.29
This is dummy resume feedback #705,5.95,11.59,16.55,11.36
This is dummy resume feedback #706,19.85,6.58,17.11,14.51
This is dummy resume feedback #707,9.84,14.61,6.8,10.42
This is dummy resume feedback #708,17.15,8.24,8.98,11.46
This is dummy resume feedback #709,8.82,14.29,5.26,9.46
This is dummy resume feedback #710,15.22,14.75,9.4,13.12
This is dummy resume feedback #711,16.4,7.28,16.6,13.43
This is dummy resume feedback #712,13.93,5.92,12.77,10.87
This is dummy resume feedback #713,12.07,16.71,10.22,13.0
This is dummy resume feedback #714,11.18,11.9,10.58,11.22
This is dummy resume feedback #715,10.23,5.87,5.02,7.04
This is dummy resume feedback #716,18.94,19.92,9.5,16.12
This is dummy resume feedback #717,17.46,5.87,14.7,12.68
This is dummy resume feedback #718,19.48,15.43,19.61,18.17
This is dummy resume feedback #719,6.86,19.76,17.71,14.78
This is dummy resume feedback #720,15.96,8.59,5.35,9.97
This is dummy resume feedback #721,19.08,7.13,18.48,14.9
This is dummy resume feedback #722,7.72,6.82,16.75,10.43
This is dummy resume feedback #723,6.0,9.55,16.71,10.75
This is dummy resume feedback #724,16.12,6.52,11.87,11.5
This is dummy resume feedback #725,13.62,15.38,10.97,13.32
This is dummy resume feedback #726,17.63,5.93,9.54,11.03
This is dummy resume feedback #727,7.1,12.64,5.99,8.58
This is dummy resume feedback #728,16.93,19.95,8.42,15.1
This is dummy resume feedback #729,8.02,17.21,8.7,11.31
This is dummy resume feedback #730,7.45,14.23,12.26,11.31
This is dummy resume feedback #731,7.46,9.59,16.21,11.09
This is dummy resume feedback #732,17.22,14.36,12.11,14.56
This is dummy resume feedback #733,14.98,12.91,5.87,11.25
This is dummy resume feedback #734,12.85,11.39,19.37,14.54
This is dummy resume feedback #735,10.38,6.96,19.14,12.16
This is dummy resume feedback #736,18.16,18.3,16.78,17.75
This is dummy resume feedback #737,10.89,11.75,19.87,14.17
This is dummy resume feedback #738,17.25,7.92,13.17,12.78
This is dummy resume feedback #739,11.59,10.52,19.44,13.85
This is dummy resume feedback #740,10.65,11.21,6.13,9.33
This is dummy resume feedback #741,11.94,17.41,10.49,13.28
This is dummy resume feedback #742,9.52,16.0,8.38,11.3
This is dummy resume feedback #743,16.21,16.54,7.94,13.56
This is dummy resume feedback #744,12.54,5.17,7.11,8.27
This is dummy resume feedback #745,8.48,11.24,14.34,11.35
This is dummy resume feedback #746,18.49,12.22,16.72,15.81
This is dummy resume feedback #747,10.76,5.29,13.67,9.91
This is dummy resume feedback #748,13.15,8.9,7.2,9.75
This is dummy resume feedback #749,18.6,16.4,17.17,17.39
This is dummy resume feedback #750,14.36,7.06,14.54,11.99
This is dummy resume feedback #751,6.75,13.03,10.82,10.2
This is dummy resume feedback #752,19.1,8.23,15.11,14.15
This is dummy resume feedback #753,14.42,5.18,8.9,9.5
This is dummy resume feedback #754,10.02,8.62,10.18,9.61
This is dummy resume feedback #755,7.09,19.64,18.76,15.16
This is dummy resume feedback #756,16.91,17.02,9.36,14.43
This is dummy resume feedback #757,14.3,19.39,12.05,15.25
This is dummy resume feedback #758,13.0,12.32,18.35,14.56
This is dummy resume feedback #759,18.41,6.65,15.62,13.56
This is dummy resume feedback #760,16.83,13.22,5.93,11.99
This is dummy resume feedback #761,7.28,11.82,7.21,8.77
This is dummy resume feedback #762,9.68,17.67,5.12,10.82
This is dummy resume feedback #763,8.73,6.47,14.46,9.89
This is dummy resume feedback #764,16.16,12.32,11.72,13.4
This is dummy resume feedback #765,5.5,7.25,7.01,6.59
This is dummy resume feedback #766,13.55,9.87,19.37,14.26
This is dummy resume feedback #767,16.44,16.06,12.94,15.15
This is dummy resume feedback #768,18.15,12.14,8.63,12.97
This is dummy resume feedback #769,10.13,10.64,12.51,11.09
This is dummy resume feedback #770,17.32,10.92,15.19,14.48
This is dummy resume feedback #771,6.66,11.89,6.14,8.23
This is dummy resume feedback #772,17.7,16.78,9.12,14.53
This is dummy resume feedback #773,6.91,18.38,17.1,14.13
This is dummy resume feedback #774,10.96,19.33,11.89,14.06
This is dummy resume feedback #775,16.96,16.8,13.2,15.65
This is dummy resume feedback #776,7.25,9.73,11.49,9.49
This is dummy resume feedback #777,8.44,15.32,5.66,9.81
This is dummy resume feedback #778,15.83,11.56,7.49,11.63
This is dummy resume feedback #779,15.8,8.82,11.68,12.1
This is dummy resume feedback #780,14.62,17.61,8.14,13.46
This is dummy resume feedback #781,15.41,5.58,5.75,8.91
This is dummy resume feedback #782,13.14,18.53,17.65,16.44
This is dummy resume feedback #783,8.78,11.92,19.72,13.47
This is dummy resume feedback #784,10.19,14.56,16.9,13.88
This is dummy resume feedback #785,7.72,14.89,17.81,13.47
This is dummy resume feedback #786,18.63,18.43,8.63,15.23
This is dummy resume feedback #787,13.75,14.55,19.41,15.9
This is dummy resume feedback #788,11.01,14.21,7.95,11.06
This is dummy resume feedback #789,11.93,6.0,19.27,12.4
This is dummy resume feedback #790,19.21,12.78,19.92,17.3
This is dummy resume feedback #791,7.3,7.25,15.68,10.08
This is dummy resume feedback #792,13.79,16.06,19.72,16.52
This is dummy resume feedback #793,12.59,12.68,13.54,12.94
This is dummy resume feedback #794,14.17,15.2,8.89,12.75
This is dummy resume feedback #795,5.27,5.63,11.55,7.48
This is dummy resume feedback #796,18.08,6.27,13.9,12.75
This is dummy resume feedback #797,18.98,15.74,6.1,13.61
This is dummy resume feedback #798,13.48,6.08,14.34,11.3
This is dummy resume feedback #799,15.45,6.07,19.72,13.75
This is dummy resume feedback #800,18.84,5.18,7.85,10.62
This is dummy resume feedback #801,15.61,19.35,16.89,17.28
This is dummy resume feedback #802,7.29,16.06,18.62,13.99
This is dummy resume feedback #803,13.64,10.3,19.16,14.37
This is dummy resume feedback #804,14.1,9.45,19.4,14.32
This is dummy resume feedback #805,11.36,10.25,12.82,11.48
This is dummy resume feedback #806,16.05,16.62,19.66,17.44
This is dummy resume feedback #807,19.02,14.92,16.36,16.77
This is dummy resume feedback #808,18.88,7.78,7.43,11.36
This is dummy resume feedback #809,11.76,7.61,12.15,10.51
This is dummy resume feedback #810,6.7,6.48,15.77,9.65
This is dummy resume feedback #811,19.77,14.9,8.71,14.46
This is dummy resume feedback #812,17.58,16.47,14.61,16.22
This is dummy resume feedback #813,6.87,8.98,15.0,10.28
This is dummy resume feedback #814,18.81,5.31,7.44,10.52
This is dummy resume feedback #815,18.05,6.23,13.48,12.59
This is dummy resume feedback #816,12.78,19.52,16.57,16.29
This is dummy resume feedback #817,13.87,9.43,12.48,11.93
This is dummy resume feedback #818,10.99,16.54,5.18,10.9
This is dummy resume feedback #819,5.82,14.37,5.14,8.44
This is dummy resume feedback #820,10.03,10.73,10.36,10.37
This is dummy resume feedback #821,17.04,8.09,18.89,14.67
This is dummy resume feedback #822,5.07,6.82,8.43,6.77
This is dummy resume feedback #823,10.0,14.23,14.52,12.92
This is dummy resume feedback #824,10.97,16.62,8.33,11.97
This is dummy resume feedback #825,13.06,14.66,9.83,12.52
This is dummy resume feedback #826,18.8,12.95,17.72,16.49
This is dummy resume feedback #827,10.2,5.63,15.93,10.59
This is dummy resume feedback #828,10.2,19.53,6.43,12.05
This is dummy resume feedback #829,16.06,16.98,11.43,14.82
This is dummy resume feedback #830,11.78,9.39,5.44,8.87
This is dummy resume feedback #831,8.37,19.7,12.21,13.43
This is dummy resume feedback #832,11.79,14.03,14.94,13.59
This is dummy resume feedback #833,7.11,13.74,6.78,9.21
This is dummy resume feedback #834,7.65,16.22,9.33,11.07
This is dummy resume feedback #835,12.48,17.18,10.97,13.54
This is dummy resume feedback #836,11.28,14.85,18.79,14.97
This is dummy resume feedback #837,18.72,6.92,19.9,15.18
This is dummy resume feedback #838,10.44,10.07,5.67,8.73
This is dummy resume feedback #839,13.71,18.92,16.42,16.35
This is dummy resume feedback #840,14.48,8.37,10.58,11.14
This is dummy resume feedback #841,5.2,10.58,10.89,8.89
This is dummy resume feedback #842,14.95,11.48,16.31,14.25
This is dummy resume feedback #843,7.67,11.59,18.78,12.68
This is dummy resume feedback #844,19.42,14.19,19.26,17.62
This is dummy resume feedback #845,7.23,19.15,13.66,13.35
This is dummy resume feedback #846,11.22,8.61,10.36,10.06
This is dummy resume feedback #847,6.28,6.82,16.81,9.97
This is dummy resume feedback #848,19.95,7.96,8.77,12.23
This is dummy resume feedback #849,12.53,18.3,13.46,14.76
This is dummy resume feedback #850,13.93,14.69,10.38,13.0
This is dummy resume feedback #851,6.01,9.29,14.85,10.05
This is dummy resume feedback #852,16.25,17.24,8.61,14.03
This is dummy resume feedback #853,8.15,17.92,7.87,11.31
This is dummy resume feedback #854,18.47,17.7,18.77,18.31
This is dummy resume feedback #855,8.08,18.78,6.53,11.13
This is dummy resume feedback #856,7.86,8.78,12.59,9.74
This is dummy resume feedback #857,5.55,16.33,8.31,10.06
This is dummy resume feedback #858,12.08,11.91,5.58,9.86
This is dummy resume feedback #859,13.47,17.63,5.54,12.21
This is dummy resume feedback #860,5.99,15.93,7.63,9.85
This is dummy resume feedback #861,16.63,16.65,18.0,17.09
This is dummy resume feedback #862,11.8,14.84,9.24,11.96
This is dummy resume feedback #863,12.87,7.66,19.26,13.26
This is dummy resume feedback #864,11.61,13.18,13.72,12.84
This is dummy resume feedback #865,11.01,19.77,11.55,14.11
This is dummy resume feedback #866,13.39,19.06,13.7,15.38
This is dummy resume feedback #867,7.33,5.65,12.75,8.58
This is dummy resume feedback #868,7.73,7.47,16.38,10.53
This is dummy resume feedback #869,17.93,6.98,9.24,11.38
This is dummy resume feedback #870,19.19,15.89,10.3,15.13
This is dummy resume feedback #871,10.6,17.27,18.41,15.43
This is dummy resume feedback #872,9.06,8.2,19.2,12.15
This is dummy resume feedback #873,14.66,12.59,18.39,15.21
This is dummy resume feedback #874,11.13,17.61,11.29,13.34
This is dummy resume feedback #875,5.38,15.99,16.71,12.69
This is dummy resume feedback #876,7.34,13.13,12.15,10.87
This is dummy resume feedback #877,15.74,13.86,12.46,14.02
This is dummy resume feedback #878,14.88,12.63,8.07,11.86
This is dummy resume feedback #879,5.41,9.46,13.87,9.58
This is dummy resume feedback #880,8.33,13.48,7.79,9.87
This is dummy resume feedback #881,8.47,15.33,9.97,11.26
This is dummy resume feedback #882,15.08,18.1,17.83,17.0
This is dummy resume feedback #883,5.3,14.54,8.11,9.32
This is dummy resume feedback #884,6.56,16.42,6.07,9.68
This is dummy resume feedback #885,17.0,7.4,6.04,10.15
This is dummy resume feedback #886,7.68,11.92,19.11,12.9
This is dummy resume feedback #887,14.79,5.14,12.6,10.84
This is dummy resume feedback #888,8.57,8.7,11.14,9.47
This is dummy resume feedback #889,6.49,15.9,17.16,13.18
This is dummy resume feedback #890,8.65,19.88,17.54,15.36
This is dummy resume feedback #891,15.83,6.49,9.98,10.77
This is dummy resume feedback #892,17.84,11.02,15.4,14.75
This is dummy resume feedback #893,17.45,17.0,16.57,17.01
This is dummy resume feedback #894,10.96,8.06,14.82,11.28
This is dummy resume feedback #895,15.02,13.33,7.27,11.87
This is dummy resume feedback #896,8.07,16.0,18.14,14.07
This is dummy resume feedback #897,9.4,14.24,13.09,12.24
This is dummy resume feedback #898,18.45,7.82,9.24,11.84
This is dummy resume feedback #899,5.2,10.33,11.38,8.97
This is dummy resume feedback #900,6.28,16.76,5.56,9.53
This is dummy resume feedback #901,8.12,13.31,6.92,9.45
This is dummy resume feedback #902,5.4,5.08,16.48,8.99
This is dummy resume feedback #903,7.72,16.41,5.0,9.71
This is dummy resume feedback #904,13.75,5.53,11.25,10.18
This is dummy resume feedback #905,11.32,16.19,12.84,13.45
This is dummy resume feedback #906,18.39,8.04,5.82,10.75
This is dummy resume feedback #907,17.26,19.37,19.6,18.74
This is dummy resume feedback #908,10.13,10.52,8.39,9.68
This is dummy resume feedback #909,8.89,9.9,9.56,9.45
This is dummy resume feedback #910,10.7,7.23,9.56,9.16
This is dummy resume feedback #911,13.85,9.58,8.46,10.63
This is dummy resume feedback #912,9.02,18.15,5.02,10.73
This is dummy resume feedback #913,14.36,19.95,15.94,16.75
This is dummy resume feedback #914,11.14,10.52,19.5,13.72
This is dummy resume feedback #915,13.28,11.73,8.36,11.12
This is dummy resume feedback #916,11.54,15.83,14.95,14.11
This is dummy resume feedback #917,9.42,18.29,16.13,14.61
This is dummy resume feedback #918,19.23,13.9,17.73,16.95
This is dummy resume feedback #919,16.45,10.87,11.34,12.89
This is dummy resume feedback #920,7.1,11.19,9.54,9.28
This is dummy resume feedback #921,18.03,15.43,9.88,14.45
This is dummy resume feedback #922,12.31,5.05,15.69,11.02
This is dummy resume feedback #923,18.42,14.29,17.25,16.65
This is dummy resume feedback #924,17.0,10.33,7.72,11.68
This is dummy resume feedback #925,11.38,16.91,10.56,12.95
This is dummy resume feedback #926,5.34,6.39,18.53,10.09
This is dummy resume feedback #927,9.03,13.82,17.1,13.32
This is dummy resume feedback #928,13.12,12.21,19.77,15.03
This is dummy resume feedback #929,14.5,14.63,16.31,15.15
This is dummy resume feedback #930,8.87,5.97,10.9,8.58
This is dummy resume feedback #931,7.09,13.7,13.86,11.55
This is dummy resume feedback #932,17.52,13.42,14.92,15.29
This is dummy resume feedback #933,19.77,13.41,6.18,13.12
This is dummy resume feedback #934,12.89,14.05,13.17,13.37
This is dummy resume feedback #935,7.58,15.15,15.64,12.79
This is dummy resume feedback #936,9.08,17.07,7.51,11.22
This is dummy resume feedback #937,5.28,9.05,16.71,10.35
This is dummy resume feedback #938,18.71,17.38,13.76,16.62
This is dummy resume feedback #939,6.77,12.47,19.28,12.84
This is dummy resume feedback #940,13.65,6.16,5.64,8.48
This is dummy resume feedback #941,9.11,5.88,8.98,7.99
This is dummy resume feedback #942,13.31,10.01,14.02,12.45
This is dummy resume feedback #943,14.77,16.77,9.45,13.66
This is dummy resume feedback #944,17.45,15.62,15.72,16.26
This is dummy resume feedback #945,8.1,16.83,16.39,13.77
This is dummy resume feedback #946,5.16,12.76,6.54,8.15
This is dummy resume feedback #947,7.05,11.6,12.71,10.45
This is dummy resume feedback #948,18.5,7.21,12.63,12.78
This is dummy resume feedback #949,18.11,9.92,10.54,12.86
This is dummy resume feedback #950,13.96,11.51,18.99,14.82
This is dummy resume feedback #951,14.01,6.33,17.41,12.58
This is dummy resume feedback #952,14.98,8.31,15.46,12.92
This is dummy resume feedback #953,7.63,13.97,15.71,12.44
This is dummy resume feedback #954,18.72,16.03,11.93,15.56
This is dummy resume feedback #955,11.28,19.98,18.81,16.69
This is dummy resume feedback #956,10.75,19.0,15.42,15.06
This is dummy resume feedback #957,12.78,14.64,15.93,14.45
This is dummy resume feedback #958,5.7,11.32,17.93,11.65
This is dummy resume feedback #959,7.49,14.54,9.11,10.38
This is dummy resume feedback #960,16.07,16.78,17.11,16.65
This is dummy resume feedback #961,6.24,6.78,7.93,6.98
This is dummy resume feedback #962,14.05,11.15,10.18,11.79
This is dummy resume feedback #963,8.68,17.6,10.03,12.1
This is dummy resume feedback #964,10.84,10.76,19.68,13.76
This is dummy resume feedback #965,9.33,13.58,17.85,13.59
This is dummy resume feedback #966,10.34,13.82,15.52,13.23
This is dummy resume feedback #967,15.79,7.77,15.91,13.16
This is dummy resume feedback #968,9.46,10.43,13.43,11.11
This is dummy resume feedback #969,13.5,10.02,19.21,14.24
This is dummy resume feedback #970,12.14,5.39,12.44,9.99
This is dummy resume feedback #971,14.96,5.36,10.71,10.34
This is dummy resume feedback #972,19.05,17.48,7.45,14.66
This is dummy resume feedback #973,15.99,9.1,16.79,13.96
This is dummy resume feedback #974,8.22,12.77,16.02,12.34
This is dummy resume feedback #975,5.47,9.48,10.77,8.57
This is dummy resume feedback #976,8.93,19.11,5.38,11.14
This is dummy resume feedback #977,13.93,8.89,17.58,13.47
This is dummy resume feedback #978,5.77,11.44,5.17,7.46
This is dummy resume feedback #979,12.45,18.09,15.56,15.37
This is dummy resume feedback #980,13.95,17.63,19.55,17.04
This is dummy resume feedback #981,10.01,7.79,11.56,9.79
This is dummy resume feedback #982,16.56,17.04,8.52,14.04
This is dummy resume feedback #983,6.6,11.87,15.57,11.35
This is dummy resume feedback #984,6.13,12.24,17.26,11.88
This is dummy resume feedback #985,15.92,7.0,13.2,12.04
This is dummy resume feedback #986,12.43,6.21,19.51,12.72
This is dummy resume feedback #987,15.33,15.92,5.78,12.34
This is dummy resume feedback #988,11.52,12.45,12.57,12.18
This is dummy resume feedback #989,8.7,11.55,15.78,12.01
This is dummy resume feedback #990,17.29,15.94,17.94,17.06
This is dummy resume feedback #991,16.99,16.48,7.69,13.72
This is dummy resume feedback #992,15.42,7.38,17.0,13.27
This is dummy resume feedback #993,9.08,14.15,13.29,12.17
This is dummy resume feedback #994,13.85,7.03,10.95,10.61
This is dummy resume feedback #995,10.41,16.27,6.98,11.22
This is dummy resume feedback #996,6.37,14.85,17.98,13.07
This is dummy resume feedback #997,18.76,19.35,7.36,15.16
This is dummy resume feedback #998,7.05,6.03,9.65,7.58
This is dummy resume feedback #999,19.25,5.86,9.35,11.49
This is dummy resume feedback #1000,11.69,9.23,18.07,13.0
